day,lat,lon
Monday,42.32841,-71.08833
Monday,42.30795,-71.11629
Monday,42.30784,-71.11625
Monday,42.307971,-71.116219
Monday,42.35235,-71.16691
Monday,42.35248,-71.16688
Monday,42.352613,-71.1669
Monday,42.35278,-71.16689
Monday,42.35198,-71.16692
Monday,42.35224,-71.16691
Monday,42.351966,-71.166944
Monday,42.32855,-71.07623
Monday,42.328033,-71.076957
Monday,42.327979,-71.076998
Monday,42.328053,-71.076902
Monday,42.328039,-71.077346
Monday,42.329051,-71.07561
Monday,42.328762,-71.076529
Monday,42.328722,-71.076545
Monday,42.32854,-71.07671
Monday,42.32854,-71.07671
Monday,42.32852,-71.07686
Monday,42.32861,-71.076624
Monday,42.328074,-71.087609
Monday,42.30795,-71.11629
Monday,42.30795,-71.11629
Monday,42.30795,-71.11629
Monday,42.352075,-71.16692
Monday,42.352216,-71.166908
Monday,42.352325,-71.166908
Monday,42.352325,-71.166908
Monday,42.35294,-71.16689
Monday,42.352,-71.16653
Monday,42.35182,-71.16691
Monday,42.352784,-71.166918
Monday,42.352952,-71.166925
Monday,42.35294,-71.16689
Monday,42.35182,-71.16691
Monday,42.35182,-71.16691
Monday,42.327933,-71.076912
Monday,42.32751,-71.078046
Monday,42.327912,-71.077039
Monday,42.32875,-71.07656
Monday,42.32875,-71.07656
Monday,42.32875,-71.07656
Monday,42.32854,-71.07671
Monday,42.329051,-71.07561
Monday,42.328042,-71.07734
Monday,42.328088,-71.087673
Monday,42.328105,-71.087729
Monday,42.328119,-71.087799
Monday,42.32856,-71.08871
Monday,42.32859,-71.08877
Monday,42.328932,-71.089202
Monday,42.328678,-71.089487
Monday,42.32876,-71.08953
Monday,42.329057,-71.089367
Monday,42.32878,-71.08957
Monday,42.32878,-71.08957
Monday,42.32881,-71.0898
Monday,42.329111,-71.08947
Monday,42.32914,-71.08962
Monday,42.329031,-71.090089
Monday,42.328276,-71.088143
Monday,42.32852,-71.08865
Monday,42.32852,-71.08865
Monday,42.32852,-71.08865
Monday,42.32859,-71.08877
Monday,42.32859,-71.08877
Monday,42.32914,-71.08962
Monday,42.32914,-71.08962
Monday,42.2915,-71.16283
Monday,42.28814,-71.16492
Monday,42.29163,-71.1626
Monday,42.28865,-71.16521
Monday,42.28923,-71.16489
Monday,42.28915,-71.16441
Monday,42.28937,-71.16479
Monday,42.2893,-71.16429
Monday,42.28988,-71.16444
Monday,42.28973,-71.16404
Monday,42.28987,-71.16395
Monday,42.29001,-71.16384
Monday,42.29,-71.16431
Monday,42.29045,-71.16402
Monday,42.29039,-71.16356
Monday,42.29061,-71.16391
Monday,42.29076,-71.16381
Monday,42.32572,-71.08477
Monday,42.32561,-71.08559
Monday,42.32552,-71.0854
Monday,42.32609,-71.08579
Monday,42.32545,-71.08521
Monday,42.32541,-71.08503
Monday,42.32564,-71.08484
Monday,42.325603,-71.084597
Monday,42.3255,-71.0845
Monday,42.32571,-71.08594
Monday,42.325808,-71.084941
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32609,-71.08579
Monday,42.32571,-71.08594
Monday,42.32571,-71.08594
Monday,42.32571,-71.08594
Monday,42.32569,-71.08586
Monday,42.277266,-71.101312
Monday,42.27691,-71.10141
Monday,42.274272,-71.104226
Monday,42.274182,-71.104314
Monday,42.273327,-71.105176
Monday,42.273259,-71.105246
Monday,42.273215,-71.105293
Monday,42.273172,-71.105335
Monday,42.272906,-71.10497
Monday,42.272953,-71.104925
Monday,42.272994,-71.104881
Monday,42.273038,-71.104836
Monday,42.272587,-71.105291
Monday,42.272631,-71.105244
Monday,42.272678,-71.105201
Monday,42.272744,-71.105133
Monday,42.27436,-71.103479
Monday,42.274582,-71.103253
Monday,42.276831,-71.100971
Monday,42.277545,-71.100243
Monday,42.27703,-71.10134
Monday,42.27677,-71.10155
Monday,42.27641,-71.10151
Monday,42.27626,-71.10165
Monday,42.27877,-71.09885
Monday,42.275474,-71.102359
Monday,42.27493,-71.103
Monday,42.27898,-71.0991
Monday,42.273365,-71.104511
Monday,42.27857,-71.09907
Monday,42.272859,-71.105017
Monday,42.27861,-71.09965
Monday,42.27928,-71.09863
Monday,42.27842,-71.09931
Monday,42.278583,-71.099841
Monday,42.27806,-71.09977
Monday,42.27827,-71.10004
Monday,42.27818,-71.10019
Monday,42.27795,-71.0999
Monday,42.27806,-71.10029
Monday,42.27746,-71.10087
Monday,42.2792,-71.09878
Monday,42.27729,-71.1006
Monday,42.27739,-71.101
Monday,42.27666,-71.10124
Monday,42.27729,-71.1011
Monday,42.27713,-71.10128
Monday,42.278663,-71.098889
Monday,42.275092,-71.102748
Monday,42.27898,-71.0991
Monday,42.291992,-71.153742
Monday,42.29215,-71.15444
Monday,42.29194,-71.15409
Monday,42.29222,-71.15426
Monday,42.29204,-71.15394
Monday,42.29163,-71.15459
Monday,42.292084,-71.154573
Monday,42.29184,-71.15425
Monday,42.29184,-71.15425
Monday,42.29215,-71.15444
Monday,42.29215,-71.15444
Monday,42.29239,-71.15405
Monday,42.29239,-71.15405
Monday,42.32113,-71.07844
Monday,42.32089,-71.07877
Monday,42.3211,-71.07834
Monday,42.32108,-71.07827
Monday,42.32102,-71.07814
Monday,42.32072,-71.07839
Monday,42.32098,-71.07808
Monday,42.32068,-71.07825
Monday,42.32134,-71.07891
Monday,42.32134,-71.07891
Monday,42.32105,-71.07912
Monday,42.32105,-71.07912
Monday,42.32105,-71.07912
Monday,42.32105,-71.07912
Monday,42.32105,-71.07912
Monday,42.32105,-71.07912
Monday,42.32105,-71.07912
Monday,42.32113,-71.07844
Monday,42.32089,-71.07877
Monday,42.32089,-71.07877
Monday,42.32089,-71.07877
Monday,42.32125,-71.07957
Monday,42.32125,-71.07957
Monday,42.32125,-71.07957
Monday,42.32125,-71.07957
Monday,42.32125,-71.07957
Monday,42.32102,-71.07814
Monday,42.32102,-71.07814
Monday,42.32102,-71.07814
Monday,42.32068,-71.07825
Monday,42.32068,-71.07825
Monday,42.32068,-71.07825
Monday,42.32056,-71.07797
Monday,42.32116,-71.07935
Monday,42.32116,-71.07935
Monday,42.32116,-71.07935
Monday,42.32116,-71.07935
Monday,42.32116,-71.07935
Monday,42.330266,-71.077908
Monday,42.33079,-71.07793
Monday,42.34221,-71.08306
Monday,42.34221,-71.08306
Monday,42.34221,-71.08306
Monday,42.34221,-71.08306
Monday,42.34217,-71.083
Monday,42.34217,-71.083
Monday,42.34214,-71.08295
Monday,42.34214,-71.08295
Monday,42.34214,-71.08295
Monday,42.342102,-71.08289
Monday,42.342102,-71.08289
Monday,42.342072,-71.08283
Monday,42.342072,-71.08283
Monday,42.34233,-71.08323
Monday,42.34233,-71.08323
Monday,42.34233,-71.08323
Monday,42.34233,-71.08323
Monday,42.34229,-71.08317
Monday,42.34229,-71.08317
Monday,42.34229,-71.08317
Monday,42.34225,-71.08311
Monday,42.34225,-71.08311
Monday,42.342465,-71.082716
Monday,42.342151,-71.082988
Monday,42.342465,-71.082716
Monday,42.342465,-71.082716
Monday,42.342465,-71.082716
Monday,42.342465,-71.082716
Monday,42.280475,-71.158841
Monday,42.28039,-71.15912
Monday,42.28069,-71.15913
Monday,42.2805,-71.15926
Monday,42.2808,-71.15925
Monday,42.25317,-71.11538
Monday,42.2532,-71.11484
Monday,42.253072,-71.114593
Monday,42.25266,-71.11492
Monday,42.252532,-71.114779
Monday,42.25337,-71.11556
Monday,42.253438,-71.115013
Monday,42.253022,-71.115216
Monday,42.28729,-71.16732
Monday,42.28749,-71.16703
Monday,42.28693,-71.1669
Monday,42.28738,-71.16742
Monday,42.25009,-71.11891
Monday,42.25033,-71.1193
Monday,42.24996,-71.11909
Monday,42.25028,-71.11951
Monday,42.28843,-71.16527
Monday,42.29116,-71.16303
Monday,42.28831,-71.16487
Monday,42.28898,-71.16508
Monday,42.2891,-71.16497
Monday,42.28897,-71.16459
Monday,42.28963,-71.16464
Monday,42.28944,-71.16421
Monday,42.28975,-71.16453
Monday,42.28959,-71.16412
Monday,42.29015,-71.16373
Monday,42.28815,-71.16536
Monday,42.290329,-71.164109
Monday,42.29027,-71.16365
Monday,42.29083,-71.16331
Monday,42.29101,-71.16316
Monday,42.29772,-71.07353
Monday,42.29794,-71.07392
Monday,42.29765,-71.07376
Monday,42.29789,-71.07416
Monday,42.29743,-71.07462
Monday,42.29743,-71.07462
Monday,42.29743,-71.07462
Monday,42.29768,-71.07495
Monday,42.29759,-71.0753
Monday,42.29731,-71.07552
Monday,42.29763,-71.0755
