Recycling,Lat,Long
F,42.289769,-71.056417
F,42.288562,-71.056195
F,42.293519,-71.056776
F,42.288562,-71.056195
F,42.288562,-71.056195
F,42.36641,-71.0523
F,42.36641,-71.05223
F,42.36618,-71.05216
F,42.36642,-71.05214
F,42.36643,-71.05201
F,42.36643,-71.05201
F,42.36643,-71.05201
F,42.36643,-71.05201
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36627,-71.04961
F,42.36615,-71.05244
F,42.36615,-71.05244
F,42.36615,-71.05244
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36661,-71.0498
F,42.36639,-71.05243
F,42.36639,-71.05243
F,42.36639,-71.05243
F,42.36639,-71.05243
F,42.36639,-71.05243
F,42.36639,-71.05243
F,42.36639,-71.05243
F,42.36639,-71.05243
F,42.36617,-71.0523
F,42.36617,-71.0523
F,42.36617,-71.0523
F,42.293538,-71.05679
F,42.297898,-71.056017
F,42.30005,-71.057787
F,42.299673,-71.058854
F,42.291388,-71.056185
F,42.29182,-71.05709
F,42.30017,-71.05921
F,42.30002,-71.05918
F,42.30016,-71.05865
F,42.29896,-71.05802
F,42.29882,-71.05791
F,42.298462,-71.057639
F,42.30017,-71.05921
F,42.30017,-71.05921
F,42.30017,-71.05921
F,42.29916,-71.05816
F,42.29912,-71.05811
F,42.29912,-71.05811
F,42.29882,-71.05791
F,42.29882,-71.05791
F,42.29882,-71.05791
F,42.29795,-71.05711
F,42.29782,-71.05706
F,42.29764,-71.05705
F,42.29764,-71.05705
F,42.29764,-71.05705
F,42.29776,-71.05645
F,42.29708,-71.05681
F,42.29708,-71.05681
F,42.29708,-71.05681
F,42.297059,-71.056801
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
F,42.29687,-71.05684
