Recycling,Lat,Long
T,42.34577,-71.10375
T,42.34577,-71.10375
T,42.34577,-71.10375
T,42.348655,-71.153002
T,42.34807,-71.15297
T,42.34889,-71.15253
T,42.34803,-71.153
T,42.34798,-71.15303
T,42.302392,-71.060605
T,42.348798,-71.152919
T,42.348879,-71.152505
T,42.34807,-71.15297
T,42.34807,-71.15297
T,42.34807,-71.15297
T,42.34803,-71.153
T,42.34803,-71.153
T,42.251726,-71.13974
T,42.251771,-71.139833
T,42.25185,-71.14007
T,42.304337,-71.062629
T,42.30286,-71.06079
T,42.317557,-71.109605
T,42.317732,-71.11001
T,42.317732,-71.11001
T,42.317732,-71.11001
T,42.317583,-71.110103
T,42.317583,-71.110103
T,42.317583,-71.110103
T,42.317583,-71.110103
T,42.317583,-71.110103
T,42.31745,-71.11017
T,42.317312,-71.109754
T,42.31717,-71.10986
T,42.31728,-71.11026
T,42.31703,-71.10996
T,42.316922,-71.110032
T,42.316922,-71.110032
T,42.316922,-71.110032
T,42.31803,-71.10974
T,42.31785,-71.10988
T,42.31785,-71.10988
T,42.31741,-71.10969
T,42.31717,-71.10986
T,42.31717,-71.10986
T,42.31728,-71.11026
T,42.31728,-71.11026
T,42.31813,-71.10967
T,42.31813,-71.10967
T,42.3179,-71.1094
T,42.3179,-71.1094
T,42.317593,-71.110102
T,42.31812,-71.10992
T,42.31812,-71.10992
T,42.31812,-71.10992
T,42.31805,-71.11023
T,42.31805,-71.11023
T,42.313,-71.11772
T,42.31326,-71.11737
T,42.31334,-71.11775
T,42.313,-71.11772
T,42.31318,-71.11788
T,42.31318,-71.11788
T,42.34197,-71.07434
T,42.34222,-71.07418
T,42.341815,-71.074506
T,42.342146,-71.073679
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.34222,-71.07418
T,42.28871,-71.06686
T,42.28871,-71.06686
T,42.28871,-71.06686
T,42.28871,-71.06686
T,42.28553,-71.06585
T,42.28571,-71.06591
T,42.286,-71.06549
T,42.28587,-71.06595
T,42.28653,-71.06631
T,42.28667,-71.06581
T,42.28675,-71.06637
T,42.28687,-71.06591
T,42.28732,-71.06673
T,42.28762,-71.066259
T,42.28751,-71.0668
T,42.2878,-71.06633
T,42.28812,-71.0665
T,42.28795,-71.06701
T,42.28795,-71.06701
T,42.28795,-71.06701
T,42.28673,-71.066366
T,42.28673,-71.066366
T,42.28673,-71.066366
T,42.287472,-71.066828
T,42.287937,-71.067043
T,42.288728,-71.066826
T,42.288795,-71.066911
T,42.28851,-71.06719
T,42.28851,-71.06719
T,42.28851,-71.06719
T,42.28587,-71.06595
T,42.28603,-71.06606
T,42.28603,-71.06606
T,42.28623,-71.06542
T,42.28653,-71.06631
T,42.28667,-71.06581
T,42.28667,-71.06581
T,42.28724,-71.06606
T,42.28724,-71.06606
T,42.2878,-71.06633
T,42.2878,-71.06633
T,42.28582,-71.06542
T,42.28582,-71.06542
T,42.28847,-71.06674
T,42.28847,-71.06674
T,42.336617,-71.069539
T,42.331992,-71.07517
T,42.342076,-71.063209
T,42.34529,-71.06182
T,42.34486,-71.06202
T,42.343759,-71.062729
T,42.34259,-71.06316
T,42.339548,-71.065333
T,42.33803,-71.0675
T,42.33754,-71.06825
T,42.33748,-71.06833
T,42.33741,-71.06842
T,42.33701,-71.06896
T,42.33676,-71.069338
T,42.336331,-71.07013
T,42.3321,-71.07597
T,42.332033,-71.076299
T,42.331717,-71.076455
T,42.33907,-71.06601
T,42.336986,-71.069026
T,42.341255,-71.065765
T,42.338452,-71.067007
T,42.333916,-71.073286
T,42.332114,-71.076014
T,42.331671,-71.076514
T,42.332417,-71.075877
T,42.335319,-71.071623
T,42.34544,-71.06172
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33841,-71.06694
T,42.33366,-71.07423
T,42.33523,-71.07148
T,42.33274,-71.07481
T,42.331754,-71.076396
